end_year,citylng,citylat,intensity,sector,topic,insight,swot,url,region,start_year,impact,added,published,city,country,relevance,pestle,source,title,likelihood
2019,,,16,,,Amazon Prime Australia,,http://bucharest-online.com/amazon-prime-australia.html,Oceania,,,"June, 25 2018 01:06:45","June, 25 2018 00:00:00",,Australia,4,,Bucharest-online.com,Amazon's Online Store is expected to hit Australia next year.,4
2050,,,16,Energy,emission,"EU charting wrong course on LNG in shipping, study warns",,https://www.euractiv.com/section/transport/news/eu-charting-wrong-course-on-lng-in-shipping-study-warns/,World,,,"June, 25 2018 13:49:23","June, 25 2018 00:00:00",,,4,Environmental,"EurActiv | EU News & policy debates, across languages",Shipping accounted for about 3% of global emissions in 2012 and will contribute between 6% and 14% by 2050 due to increased growth.,4
2025,,,72,Media & entertainment,camera,CCTV camera market shows robust growth,Strength,https://www.securityworldmarket.com/me/News/Business-News/cctv-camera-market-shows-robust-growth1,World,,3,"June, 25 2018 02:05:05","June, 25 2018 00:00:00",,,6,Social,SecurityWorldMarket.com,The global CCTV camera market is expected to expand at robust 12.7% CAGR during the period between 2017 and 2025 to become worth US$23.32 billion by 2025.,4
2023,,,12,Information Technology,electronics,Growing Importance of Flexible Electronics & Circuit Market 2018-2023,,http://www.sbwire.com/press-releases/growing-importance-of-flexible-electronics-circuit-market-2018-2023-999095.htm,,2018,,"June, 26 2018 06:16:21","June, 25 2018 00:00:00",,,3,Technological,SBWire,Displays LCD and OLED are expected to hold the largest share of flexible electronics market during 2018-2023.,4
2022,,,16,,coalition,Japan,,http://country.eiu.com/japan,,2018,,"June, 25 2018 13:34:09","June, 25 2018 00:00:00",,,4,Political,Economist,"Japan's Liberal Democratic Party and its junior coalition partner, Komeito, will continue to enjoy a dominant position in parliament in 2018-22.",4
2048,,,12,Energy,electricity,ADD TITLE (ENDS WITH FORUM ON PAGE),,http://plattsinfo.platts.com/platts-insight-webinar-june28?hootPostID=75f24d0b8aa4a2db6f3484965a851772,Asia,,,"June, 25 2018 14:09:14","June, 25 2018 00:00:00",,,4,Industries,,Asia's demand for electricity is projected to continue to grow in the coming decades.,3
2018,,,16,,competition,"Top Stock Reports for Chevron, Glaxo & T-Mobile",,https://www.zacks.com/research-daily/167345/top-stock-reports-for-chevron-glaxo-t-mobile,Northern America,,,"June, 25 2018 01:18:42","June, 25 2018 00:00:00",,United States of America,4,Organization,Zacks,Advair is expected to face generic competition in the United States this year.,4
2025,,,60,,,CCTV camera market shows robust growth,,https://www.securityworldmarket.com/me/News/Business-News/cctv-camera-market-shows-robust-growth1,Asia,,3,"June, 25 2018 02:05:06","June, 25 2018 00:00:00",,,5,,SecurityWorldMarket.com,The market in Asia Pacific will likely outpace all other regions in terms of growth rate by registering a CAGR of 14.6% from 2017 to 2025 to become worth US$9.554 billion by 2025.,4
2023,,,12,,,"Amazon Extends Ties With Sears, Bolsters Retail Presence",,https://www.zacks.com/stock/news/307652/amazon-extends-ties-with-sears-bolsters-retail-presence,World,2018,,"June, 25 2018 02:07:43","June, 25 2018 00:00:00",,,3,,Zacks,The global online tire market is expected to grow at a CAGR of 7% between 2018 and 2023.,4
2021,,,16,Energy,electricity,ADD TITLE (ENDS WITH FORUM ON PAGE),,http://plattsinfo.platts.com/platts-insight-webinar-june28?hootPostID=75f24d0b8aa4a2db6f3484965a851772,Asia,,,"June, 25 2018 14:09:15","June, 25 2018 00:00:00",,,4,Environmental,,Coal is expected to retain its dominance in Asia's electricity mix in the years to come.,4
2048,,,8,Energy,gas,Economic Benefits,,https://www.canadasnaturalgas.ca/en/natural-gas-potential/economic-benefits,Northern America,,,"June, 25 2018 14:48:41","June, 25 2018 00:00:00",,Canada,4,Economic,Canada's Natural Gas,B.C.'s future LNG industry could fuel the economy and job growth in the province and Canada for decades.,2
2050,,,12,Environment,sea,Biodiversity in Cyprus in numbers,,https://www.climatechangepost.com/cyprus/biodiversity/,Western Asia,,,"June, 25 2018 00:35:46","June, 25 2018 00:00:00",,Cyprus,4,Environmental,Cyprus,Sea surface temperature near Cyprus is expected to further increase by 2 °C until 2050.,3
2025,,,72,Information Technology,3D,"3D Printing Medical/Healthcare Market 2018- Global Industry Anal - WTVM.com-Columbus, GA News Weather & Sports",,http://www.wtvm.com/story/38498675/3d-printing-medicalhealthcare-market-2018-global-industry-analysis-by-key-players-segmentation-trends-and-forecast-by-2025,World,,3,"June, 26 2018 02:57:20","June, 25 2018 00:00:00",,,6,Technological,WTVM,The global 3D Printing Medical / Healthcare market is valued at 1140 million US$ in 2017 and will reach 7360 million US$ by the end of 2025.,4
2029,,,12,Energy,policy,New EU biofuel rules not enough to help people or the planet,,https://www.oxfam.org/en/pressroom/reactions/new-eu-biofuel-rules-not-enough-help-people-or-planet-0,,2020,,"June, 25 2018 09:48:40","June, 25 2018 00:00:00",,,4,Industries,Oxfam International,"The outcome of the three-way negotiations of the European Parliament, member states and the European Commission will govern the EU's renewable energy policy for the next decade.",3
2038,,,9,Energy,fossil fuel,Sempra Unit to Up Energy Storage Project Via 83.5 MW Capacity,,https://www.zacks.com/stock/news/306733/sempra-unit-to-up-energy-storage-project-via-835-mw-capacity,,,,"June, 25 2018 03:42:48","June, 25 2018 00:00:00",,,3,Environmental,Zacks,Renewable energy will continue to grow more rapidly than fossil fuels over the next two decades.,3
2020,,,56,Government,data,Trump Signs Bill to Authorize NOAA Purchase of Commercial Satellite Weather Data,Opportunity,http://www.executivegov.com/2017/04/trump-signs-bill-to-authorize-noaa-purchase-of-commercial-satellite-weather-data/,,,2,"June, 25 2018 21:34:46","June, 25 2018 00:00:00",,,7,Political,Executive Gov.,The Weather Research and Forecasting Innovation Act of 2017 allows NOAA to spend up to $6 million a year to conduct a pilot procurement program that will study the effectiveness of commercial data to aid weather forecasts from fiscal 2017 to fiscal 2020.,4
2018,,,16,Manufacturing,production,The OPEC Meeting and the United States: The Elephant Not in the Room,,http://www.atlanticcouncil.org/blogs/energysource/the-opec-meeting-and-the-united-states-the-elephant-not-in-the-room,Northern America,,,"June, 25 2018 12:11:28","June, 25 2018 00:00:00",,United States of America,4,Industries,Atlantic Council ,The US rig count is up 15 percent over the past six months and US production is expected to grow by over 1 million barrels per day this year.,4
2050,,,16,Energy,electricity,Nuclear Closures Undo Years' Worth of Climate Progress,,https://www.thirdway.org/memo/nuclear-closures-undo-years-worth-of-climate-progress,Northern America,,,"June, 25 2018 13:42:34","June, 25 2018 00:00:00",,United States of America,4,Environmental,Third Way,"The U.S. electricity sector will need to produce roughly 2,750 million MWh of zero-carbon electricity annually by 2030 to stay on track toward 2050 emissions targets.",4
2018,,,16,,eurozone,Country and sector risks barometers Q1-2018 : Beyond the peak of global growth,Strength,http://coface.com/News-Publications/Publications/Country-and-sector-risks-barometers-Q1-2018-Beyond-the-peak-of-global-growth,Northern America,,,"June, 24 2018 07:36:14","June, 24 2018 00:00:00",,United States of America,4,Political,,Companies are taking full advantage of this virtuous circle and the number of insolvencies in the Eurozone and the United States is expected to fall again this year.,4
2030,,,8,Manufacturing,car,Cobalt Miners News For The Month Of June 2018,,https://seekingalpha.com/article/4183547-cobalt-miners-news-month-june-2018,World,,,"June, 25 2018 04:04:32","June, 24 2018 00:00:00",,,4,Social,Seeking Alpha,The number of electric cars on the world's roads could reach 125 mn units by 2030.,2
2030,,,12,Tourism & hospitality,travel,New report from WEF describes future travellers' 'digital identity',,https://www.tnooz.com/article/new-report-from-wef-describes-future-travellers-digital-identity/,,,,"June, 24 2018 11:47:51","June, 24 2018 00:00:00",,,3,Political,TNooz,"Cross-border travel will grow by 50% over the next decade and reach 1.8 billion international arrivals by 2030, a situation that experts predict will be unsustainable for the current aviation security system.",4
2040,,,12,,,The higher education landscape is changing fast,,http://www.universityworldnews.com/article.php?story=2018062208555853,Northern America,,,"June, 24 2018 13:14:27","June, 24 2018 00:00:00",,,3,,University World News,The North America and Western Europe region is expected to experience a further decline in its share of global education enrolments from 17.5% in 2015 to 10.7% by 2030 and 7.4% by 2040.,4
2018,,,16,Financial services,interest rate,Reserve Bank of India to hike again by year-end with August still in play: Reuters poll,,https://www.moneycontrol.com/news/business/economy/reserve-bank-of-india-to-hike-again-by-year-end-with-august-still-in-play-reuters-poll-2605451.html,,,,"June, 24 2018 03:11:35","June, 24 2018 00:00:00",,,4,Economic,ADMISI Commodity Research,The Reserve Bank of India is expected to raise interest rates again in the final three months of this year.,4
2021,103.8558207,1.293033466,16,Financial services,bank,PayPal touts global reach as mobile wallets pop up in APAC,,https://www.zdnet.com/article/paypal-touts-global-reach-as-mobile-wallets-pop-up-in-apac/?ftag=COS-05-10aaa0g,South-Eastern Asia,,,"June, 24 2018 12:46:51","June, 24 2018 00:00:00",Singapore,Singapore,4,Economic,ZDNet,"In Singapore, bank transfers and e-wallets were projected to grow to 21 percent by 2021.",4
2030,,,10,,economy,China Becomes World's Biggest Natural Gas Importer,Opportunity,https://www.maritime-executive.com/article/china-becomes-world-s-biggest-natural-gas-importer#gs.vKK8244,Eastern Asia,,,"June, 25 2018 14:16:52","June, 24 2018 00:00:00",,China,5,Economic,The Maritime Executive,Beijing hopes to power 15 percent of the Chinese economy by 2030.,2
2040,,,12,Education,education,The higher education landscape is changing fast,,http://www.universityworldnews.com/article.php?story=2018062208555853,,,,"June, 24 2018 13:14:27","June, 24 2018 00:00:00",,,3,Social,University World News,The number of enrolments in higher education is expected to increase from 214.1 million in 2015 to 250.7 million by 2020 and it is expected it will continue to rise to 377.4 million by 2030 and 594.1 million by 2040.,4
2028,,,9,Manufacturing,car,Cobalt Miners News For The Month Of June 2018,Opportunity,https://seekingalpha.com/article/4183547-cobalt-miners-news-month-june-2018,,,,"June, 25 2018 04:04:33","June, 24 2018 00:00:00",,,3,Social,Seeking Alpha,Electric cars will drive a rapid ramp-up in cobalt and lithium demand for a decade.,3
2048,,,9,Healthcare,innovation,CRISPR Science and Stocks: Knowing Enough to Invest,Opportunity,https://www.zacks.com/stock/news/308604/crispr-science-and-stocks-knowing-enough-to-invest,,,,"June, 25 2018 00:59:03","June, 24 2018 00:00:00",,,3,Technological,Zacks,CRISPR and its evolving variations will be a hot arena for science and medical innovation for decades to come.,3
2020,,,16,Energy,gas,All about the gas - Australia primed for more M&A,,https://uk.reuters.com/article/uk-australia-gas-m-a-analysis/all-about-the-gas-australia-primed-for-more-ma-idUKKBN1JK17A,Eastern Asia,,,"June, 25 2018 13:49:36","June, 24 2018 00:00:00",,China,4,Industries,Reuters,China's LNG imports are expected to jump 50 percent over three years to 57 million tonnes by 2020.,4
2040,,,20,Energy,energy,Will OPEC Finally Raise Production to Avoid Market Imbalance?,Strength,https://www.zacks.com/stock/news/308823/will-opec-finally-raise-production-to-avoid-market-imbalance,World,,,"June, 24 2018 04:04:39","June, 24 2018 00:00:00",,,5,Industries,Zacks,Exxon Mobil Corporation expects global energy demand to surge 25% through 2040 at a stable pace.,4
2030,,,8,Environment,water,Food for the future,,https://innovationmatters.economist.com/food-for-the-future-sustaining-eiu,,,,"June, 24 2018 12:49:55","June, 24 2018 00:00:00",,,4,Environmental,,The WEF calculates that by 2030 precision farming could conserve up to 20 megatonnes of carbon dioxide-equivalent and reduce water use by up to 180bn cu metres.,2
2027,,,12,Energy,battery,Cobalt Miners News For The Month Of June 2018,Opportunity,https://seekingalpha.com/article/4183547-cobalt-miners-news-month-june-2018,,,,"June, 25 2018 04:04:32","June, 24 2018 00:00:00",,,3,Technological,Seeking Alpha,Demand for cobalt in batteries is expected to grow at a rate of 14.5 percent per year to 2027.,4
2018,,,16,Energy,power,June 24 Energy News,,https://geoharvey.com/2018/06/24/june-24-energy-news-7/,Eastern Asia,,,"June, 26 2018 05:14:17","June, 24 2018 00:00:00",,Mongolia,4,Political,Geoharvey,Four renewable energy power plants with a total capacity of 120 MW will be put into operation in Mongolia's southeast province of Dornogovi this year.,4
2030,,,9,Automotive,vehicle,Cobalt Miners News For The Month Of June 2018,Opportunity,https://seekingalpha.com/article/4183547-cobalt-miners-news-month-june-2018,,,,"June, 25 2018 04:04:34","June, 24 2018 00:00:00",,,3,Industries,Seeking Alpha,Cobalt demand in electric vehicles was expected to be ten to 25 times higher than current levels by 2030.,3
2039,,,15,Transport,customer,The Tortoise and the Hare,,https://www.insuranceinstitute.ca/en/cipsociety/information-services/advantage-monthly/0417-tortoise-hare,World,2030,,"June, 24 2018 12:47:41","June, 24 2018 00:00:00",,,5,Industries,,"Projections of 25 or 30 percent penetration of world-wide robotic passenger kilometers traveled by the mid 2030s will find the majority of their initial customers from the existing legions of taxi, bus and Uber users.",3
2040,,,16,Education,education,The higher education landscape is changing fast,,http://www.universityworldnews.com/article.php?story=2018062208555853,Central Asia,,,"June, 24 2018 13:14:28","June, 24 2018 00:00:00",,,4,Social,University World News,Central Asia is expected to see a marginal increase in the overall number of students enrolled in higher education from 2.1 million in 2015 to 2.2 million by 2040 due to population growth projections.,4
2018,,,8,Retail,export,OPEC compromise deal fails to satisfy markets,,http://www.arabnews.com/node/1326771,Northern America,,,"June, 25 2018 14:04:00","June, 23 2018 00:00:00",,Iran,4,Economic,Arab News,"Iran meanwhile fears that it will lose exports in excess of 400,000 bpd once US sanctions kick in later this year.",2
2018,,,20,,,OPEC meets Russia and allies to agree oil output boost,Opportunity,https://www.reuters.com/article/us-oil-opec/opec-meets-russia-and-allies-to-agree-oil-output-boost-idUSKBN1JJ07G?feedType=RSS&feedName=topNews,Southern Asia,,,"June, 23 2018 12:33:34","June, 23 2018 00:00:00",,Iran,5,,Reuters,Trump slapped fresh sanctions on Tehran in May and market watchers expect Iran's output to drop by a third by the end of 2018.,4
2018,,,16,Retail,consumer,How luxury brands use four social media apps in China to reach consumers who shop mostly online,,http://www.scmp.com/lifestyle/fashion-beauty/article/2151762/how-luxury-brands-use-four-social-media-apps-china-reach,Eastern Asia,,,"June, 23 2018 13:28:17","June, 23 2018 00:00:00",,China,4,Social,South China Morning Post,Around 443 million Chinese consumers will shop on their smartphones this year.,4
2022,,,60,Information Technology,revenue,Amazon Flings Opens Prime Wardrobe Doors,,https://www.ecommercetimes.com/story/Amazon-Flings-Opens-Prime-Wardrobe-Doors-85412.html,,,3,"June, 24 2018 12:17:17","June, 23 2018 00:00:00",,,5,Economic,E-Commerce Times,Worldwide e-commerce fashion revenues will grow from US$480 billion this year to $713 billion by 2022.,4
2050,,,16,Energy,electricity,"PV, wind, batteries: Energy outlook research",Strength,https://techxplore.com/news/2018-06-pv-batteries-energy-outlook.html,World,,,"June, 25 2018 02:05:54","June, 23 2018 00:00:00",,,4,Industries,Tech Xplore,Renewable energy is set to go from strength to strength in coming years and it will be generating 50% of global electricity by 2050.,4
2050,,,12,Energy,battery,Renewables to generate half of worldwide electricity by 2050: report,,https://www.greencarreports.com/news/1117300_renewables-to-generate-half-of-worldwide-electricity-by-2050-report,,,,"June, 25 2018 02:46:45","June, 22 2018 00:00:00",,,3,Technological,Green Car Reports,"Falling battery prices will reduce the levelized cost per kilowatt-hour of solar electricity by 71 percent by 2050, and the cost of wind power by 58 percent.",4
2060,-80.22410608,25.7876107,12,Environment,sea,Miami-Dade Home Values Influenced By Rising Seas (Research),,https://cleantechnica.com/2018/06/22/miami-dade-home-values-influenced-by-rising-seas-research/,Northern America,,,"June, 25 2018 14:01:20","June, 22 2018 00:00:00",Miami,United States of America,4,Environmental,CleanTechnica,There will be 2 feet of sea level rise in the Miami area by 2060.,3
2018,,,12,,,Intel now faces a fight for its future,Threat,https://www.theverge.com/2018/6/22/17492184/intel-future-ceo-brian-krzanich-resignation-2018,,,,"June, 24 2018 12:38:43","June, 22 2018 00:00:00",,,3,,Fly,Intel will even lose server share to AMD this year.,4
2021,,,12,Financial services,bond,The Fed's Real Target,,https://realinvestmentadvice.com/the-feds-real-target/,,,,"June, 24 2018 13:10:34","June, 22 2018 00:00:00",,,3,Economic,realinvestmentadvice,Junk bond maturities will increase in coming years.,4
2022,,,16,Energy,energy,News at a glance,,http://science.sciencemag.org/content/360/6395/1276?rss=1,,,,"June, 22 2018 02:48:52","June, 22 2018 00:00:00",,,4,Technological,Science,The launch of the European Space Agency's Euclid mission to study dark energy will be delayed by 2 years to 2022 because of problems with its infrared sensors.,4
2020,,,16,,women,Saudi Arabia job growth likely as woman driver ban ends,,https://www.bbc.co.uk/news/business-44578119,Western Asia,,,"June, 23 2018 12:11:00","June, 22 2018 00:00:00",,Saudi Arabia,4,Political,BBC News Technology,The number of women on Saudi Arabia's roads will swell to three million by 2020.,4
2026,,,9,Financial services,finance,Greece crisis declared 'over' as euro zone agrees on debt relief,Threat,https://www.straitstimes.com/business/economy/greece-crisis-declared-over-as-euro-zone-agrees-on-debt-relief,,,,"June, 22 2018 03:37:24","June, 22 2018 00:00:00",,,3,Economic,The Straits Times,"Euro zone ministers declared the end of the Greek debt crisis agreeing on debt relief and a big cash payout for Greece, part of a broad bailout exit deal that will close eight years of financial rescues for cash-strapped Athens.",3
2025,,,48,Healthcare,medicine,"Global Medical Heat Sealers Market 2018- Accu-Seal, Audion Elektro, Bosch Packaging Technology (Robert Bosch)",,https://area-info.net/global-medical-heat-sealers-market-2018-accu-seal-audion-elektro-bosch-packaging-technology-robert-bosch/,World,,2,"June, 24 2018 03:56:26","June, 22 2018 00:00:00",,,6,Healthcare,Area-Info.net,The global Medical Heat Sealers market is valued at million US$ in 2017 and will reach million US$ by the end of 2025.,4
2023,,,16,Transport,bicycle,"Global Bicycle Market 2018 Industry Key Players, Trends, Sales, - NBC12 - WWBT - Richmond, VA News On Your Side",Opportunity,http://www.nbc12.com/story/38484802/global-bicycle-market-2018-industry-key-players-trends-sales-supply-demand-analysis-forecast-to-2025,World,,,"June, 24 2018 01:21:48","June, 22 2018 00:00:00",,,4,Industries,myerson,The global bicycle demand will develop with an average growth rate of 1.39% in the coming five years.,4
2030,,,20,Financial services,manufacturing,Highly skilled workers' pay set to jump with talent crunch,,https://www.straitstimes.com/business/economy/highly-skilled-workers-pay-set-to-jump-with-talent-crunch,,,,"June, 22 2018 03:37:33","June, 22 2018 00:00:00",,,5,Economic,The Straits Times,"A highly skilled employee in the manufacturing, financial services, or TMT sector here can expect to be paid an extra US$29,100 (S$39,500) a year by 2030 as talent shortages loom.",4
2035,,,8,Aerospace & defence,aviation,The aviation industry could save $15 billion a year through connected aircraft,Opportunity,https://www.tnooz.com/article/airline-connected-aircraft-lse-inmarsat/,World,,,"June, 22 2018 05:37:21","June, 22 2018 00:00:00",,,4,Industries,TNooz,The forecast doubling of aircraft in the skies by 2035 will create both challenges and opportunities for the global aviation industry.,2
2033,,,9,Information Technology,artificial intelligence,Banking and financial services jobs: mobility at an all-time high,,https://www.bankingtech.com/2018/06/banking-and-financial-services-jobs-mobility-at-an-all-time-high/,,,,"June, 26 2018 05:21:50","June, 22 2018 00:00:00",,,3,Economic,BankingTech.com,Artificial intelligence will replace roughly half of all financial services jobs over the next 15 years.,3
2050,,,12,Energy,battery,Renewables to generate half of worldwide electricity by 2050: report,,https://www.greencarreports.com/news/1117300_renewables-to-generate-half-of-worldwide-electricity-by-2050-report,World,,,"June, 25 2018 02:46:44","June, 22 2018 00:00:00",,,4,Technological,Green Car Reports,Falling prices for lithium-ion batteries will enable half the world's electricity to come from renewable solar and wind by 2050.,3
2065,,,16,,population,3 reasons why form automation is the foundation of tomorrow's cities,,https://www.smartcitiesdive.com/news/3-reasons-why-form-automation-is-the-foundation-of-tomorrows-cities/526350/,Northern America,,,"June, 23 2018 12:03:44","June, 22 2018 00:00:00",,United States of America,4,Social,Smart Cities Dive,"By 2065, foreign-born immigrants will represent 18% of the the United States population.",4
2018,,,6,,employment,"Strong case for continued, steady rate hikes: Fed chief",Weakness,https://www.straitstimes.com/business/economy/strong-case-for-continued-steady-rate-hikes-fed-chief,,,,"June, 22 2018 03:37:41","June, 22 2018 00:00:00",,,3,Social,The Straits Times,"Analysts said this year could be the year when a set of circumstances - higher oil prices, a weakening dollar and simultaneous global growth, not to mention a brewing global trade war - at last combine with scarce labour and rising employment to drive up prices.",2
2021,,,12,Financial services,bond,The Fed's Real Target,,https://realinvestmentadvice.com/the-feds-real-target/,,,,"June, 24 2018 13:10:33","June, 22 2018 00:00:00",,,3,Economic,realinvestmentadvice,The amount of maturing junk bonds will increase rapidly in future years.,4
2021,,,16,Food & agriculture,politics,2:00PM Water Cooler 6/22/2018,,https://www.nakedcapitalism.com/2018/06/200pm-water-cooler-6-22-2018.html,World,,,"June, 24 2018 12:02:06","June, 22 2018 00:00:00",,,4,Political,Naked Capitalism,Climate change will be so central to human life and global politics in the coming years that the response to it will shape the entire future world order.,4
2020,,,60,,asset,Get ready for self-driving money,,https://qz.com/1311135/credit-karma-ceo-ken-lin-says-autonomous-money-will-be-here-in-five-years/?_lrsc=70dd4984-2cf2-4baf-b77b-c36ee16c69e1,,,3,"June, 24 2018 13:19:56","June, 22 2018 00:00:00",,,5,Economic,Quartz,"Robo advisors managed $98.5 billion in 2016, more than double the year before, which has a robo service. Schwab predicts the segment's assets will climb to $460 billion by 2020.",4
